id_user,nombre,apellido,email,password_hash,tlf,municipality_id,sexo,age,role,created_at,updated_at
1,Ander,Martin Alonso,ander.martin1075@euskador.eus,0d6e670ed0489d3dd6fe00c0113f7464203a0240c5e0b45d470c62e9cef47d89,+34 98266521,20055,hombre,47,user,2026-03-16 10:22:00,2026-03-16 10:22:00
2,Daniel,Agirre Ruiz,daniel.agirre849@euskador.eus,efc20d1042848eb9674b1a9a339abeeb96cc98935f488c4095f8a6cc5c1b6eb1,+34 97389339,48015,otro,58,user,2026-03-20 13:43:00,2026-03-20 13:43:00
3,Joseba,Garate Moreno,joseba.garate897@euskador.eus,dc00655e589390cd9ed0ebf7f0a33176829bafa0ae9ce6d44066a9a17f531230,+34 69278928,48027,hombre,45,user,2026-03-18 06:39:00,2026-03-18 06:39:00
4,Carmen,González Goikoetxea,carmen.gonzalez225@euskador.eus,a7d8680c5e5641800b0e47c63d32971def5487a274f483381577761f67ba10db,+34 71486009,48015,otro,65,user,2026-03-07 11:31:00,2026-03-07 11:31:00
5,Itziar,Larrañaga Alonso,itziar.larranaga419@euskador.eus,13df7d7f2c511b6bc07133adfa895e57e089fe45e08c37bc984ad3591616e380,+34 76041284,48011,mujer,60,user,2026-03-28 04:40:00,2026-03-28 04:40:00
6,Mikel,Hernández Fernández,mikel.hernandez404@euskador.eus,0d7243ace0e8618b461126dad744ef2d3afd3133ad6da1c3627fdf7e381b0d1d,+34 95250676,48044,hombre,51,user,2026-03-17 09:16:00,2026-03-17 09:16:00
7,Xabier,Atutxa Muñoz,xabier.atutxa1610@euskador.eus,8a074d1bc37c7b93c051bea83404a4ca15e798c91d262b2d84f348fa9aabf8bd,+34 72450603,1021,otro,54,user,2026-03-10 20:14:00,2026-03-10 20:14:00
8,Antonio,Bengoa Hernández,antonio.bengoa1680@euskador.eus,925fd8fad1d73819a5001face29843f95e7da9e148bbfa6ff6cdaf17428c3f5e,+34 77970917,1059,otro,65,user,2026-03-10 02:13:00,2026-03-10 02:13:00
9,Eider,Moreno Larrañaga,eider.moreno876@euskador.eus,f2f901d4c7d6e3220573d2a1c1b0ca5d096bb2718f35e9b0833cf6a676111625,+34 97054989,48011,otro,59,user,2026-03-15 05:03:00,2026-03-15 05:03:00
10,Ander,Moreno Zubizarreta,ander.moreno1332@euskador.eus,b3e7a26bd3a1b3c5fcfe11bdd3cca7627ed075c758e01bf38529172d1714f51b,+34 79702071,20059,hombre,65,user,2026-03-09 01:03:00,2026-03-09 01:03:00
11,Teresa,Goikoetxea Martínez,teresa.goikoetxea1079@euskador.eus,f22fa3332aa4523822030c4c25eea0a399035084db91aa040c10035537830b12,+34 96887604,20040,mujer,57,user,2026-03-20 12:52:00,2026-03-20 12:52:00
12,Iker,Mendizabal Bengoa,iker.mendizabal60@euskador.eus,be23993820fbc26e904b59d17f472c929e4f792ce1425f5d869e50729a19660a,+34 68775634,48096,hombre,51,user,2026-03-23 09:05:00,2026-03-23 09:05:00
13,Oihane,Iparragirre Elizondo,oihane.iparragirre1035@euskador.eus,5ae3e6f9ec764c622877aaa1e5b39b20b055d04e82e47d4f2c43ef8b007715e6,+34 99078844,20036,mujer,64,user,2026-03-18 21:07:00,2026-03-18 21:07:00
14,Izaro,Urrutia Muñoz,izaro.urrutia1495@euskador.eus,e67a0c1b9355cd86aba8cece53f7a2992c756dc9e098e21b86058c19c99bd78e,+34 92880763,20074,otro,51,user,2026-03-26 12:37:00,2026-03-26 12:37:00
15,Antonio,Díaz Madariaga,antonio.diaz231@euskador.eus,3017b255ad4c5c679d219a5301884a35bc416d954b6be29f9cab8f217ef26cbf,+34 77763855,48080,hombre,48,user,2026-03-15 11:24:00,2026-03-15 11:24:00
16,Manuel,Muñoz Madariaga,manuel.munoz1516@euskador.eus,5d61f46e4e0dd883c1b9349df885872e6fb2a443c2bc90356b4d22a747b61265,+34 77341658,20036,otro,49,user,2026-03-07 00:18:00,2026-03-07 00:18:00
17,Izaro,Pérez Rodríguez,izaro.perez1329@euskador.eus,d56e7a8691006a460f5ec526b26a7d23f465c120e330d4ffd962c26216bc6583,+34 71748285,20079,mujer,63,user,2026-03-29 06:39:00,2026-03-29 06:39:00
18,Eneko,Larrañaga Bengoa,eneko.larranaga1755@euskador.eus,b1a223dc64209b133429d9c7f94a6c0e4683d8515c1a757435aa305f56a24798,+34 66051329,1051,hombre,50,user,2026-03-03 07:15:00,2026-03-03 07:15:00
19,Nekane,Barandiaran Muñoz,nekane.barandiaran1718@euskador.eus,b99dd6798bcb55e5fef089983973dc48bf65f36894f4b08522e20a5b2e2a99c6,+34 66431915,1008,mujer,52,user,2026-03-14 15:09:00,2026-03-14 15:09:00
20,Aitor,Agirre Goikoetxea,aitor.agirre1167@euskador.eus,1f74cd6fa38e431a20beffad30e40d3faa14ccce17a894422a84fc71e9ce3ada,+34 72284320,20018,hombre,48,user,2026-03-16 19:59:00,2026-03-16 19:59:00
21,Garbiñe,Gabilondo Uriarte,garbine.gabilondo1020@euskador.eus,16e65e6cf5543ff146c9a0d37c8400fa4e2fbb86ac0380ca94461bf6950edb5c,+34 79659720,20055,otro,64,user,2026-03-30 12:42:00,2026-03-30 12:42:00
22,Amaia,Pérez Barandiaran,amaia.perez839@euskador.eus,2f620db53bd0be812b812e52700df142e837ae02b0135982ef1917f21c71f88d,+34 92383271,48015,otro,64,user,2026-03-12 06:39:00,2026-03-12 06:39:00
23,Uxue,Iparragirre García,uxue.iparragirre1120@euskador.eus,a1261e3cc6319de123ac1f317f047d5efa241fd27138e3a9a688515e742f94b4,+34 99539077,20045,otro,61,user,2026-03-10 20:07:00,2026-03-10 20:07:00
24,Lucia,Urrutia Goikoetxea,lucia.urrutia1879@euskador.eus,b9a0a8f738471f04bdaa8fc0f023bf9c816eb6eb40ce136d4d35a2df23853f05,+34 74928977,20074,mujer,70,user,2026-03-29 03:46:00,2026-03-29 03:46:00
25,Arantza,Alonso Hernández,arantza.alonso176@euskador.eus,cb987907c364c8b3df6fcd4fa631a42bd0d6d783d442d480b788a9ace16b1d9c,+34 71184272,48013,otro,54,user,2026-03-15 17:03:00,2026-03-15 17:03:00
26,Unai,Madariaga Pérez,unai.madariaga453@euskador.eus,75027d5596e351f7dccc1b8ebd45dc685582849db29023228e129f8c496bd72c,+34 72009488,48096,hombre,53,user,2026-03-28 05:48:00,2026-03-28 05:48:00
27,Leire,Etxebarria Arregi,leire.etxebarria1861@euskador.eus,2abffba7189fc597cac51dc2b6d17336732337c069715885380d540e51257eb2,+34 69665797,1051,mujer,90,user,2026-03-26 10:37:00,2026-03-26 10:37:00
28,Iker,Iparragirre Moreno,iker.iparragirre551@euskador.eus,824ca0cf9667d1707199a278e1b8942c790be0b739f4d9c6f59b23b6569e7bde,+34 98440090,48015,otro,54,user,2026-03-27 10:03:00,2026-03-27 10:03:00
29,Kepari,Barandiaran Elizondo,kepari.barandiaran1299@euskador.eus,c1595367357319ea25eea5af5d8e6645f370f22106a2db38724d02b34eac4fdf,+34 98077600,20030,hombre,47,user,2026-03-31 05:13:00,2026-03-31 05:13:00
30,Izaro,Álvarez Gómez,izaro.alvarez1528@euskador.eus,d6b02884f8afe263263ab29f34c59b5c36ca8897e02f6b298f22a83997af20cc,+34 76294538,20055,mujer,58,user,2026-03-13 13:55:00,2026-03-13 13:55:00
31,Maite,Iparragirre Arregi,maite.iparragirre837@euskador.eus,9261337a365e1f1404b9f671d7d7b769215f8d2e4695f6fdd7b4474a4fab1048,+34 74957839,48044,mujer,63,user,2026-03-16 10:44:00,2026-03-16 10:44:00
32,Andoni,Sánchez Díaz,andoni.sanchez1201@euskador.eus,99b13dd79d0a1e89d573cc8c183cecebe86872cc59f4723c89837d41779a886e,+34 69680157,20069,otro,54,user,2026-03-14 14:02:00,2026-03-14 14:02:00
33,Aitor,Atutxa Romero,aitor.atutxa1130@euskador.eus,770679f35f69ceadff448892968892a0eb73f01424a8f8914ed8eb9a04e93f8b,+34 63858488,20030,hombre,64,user,2026-03-02 17:41:00,2026-03-02 17:41:00
34,Miren,Atutxa Fernández,miren.atutxa391@euskador.eus,e6f8283b890af22e18b9e5e321f90bc2f4145702b929a268fb3b743e5c216eac,+34 74238041,48036,mujer,65,user,2026-03-17 04:13:00,2026-03-17 04:13:00
35,David,Urrutia Fernández,david.urrutia244@euskador.eus,6d6b3adeea2e794441a945531884200074e4a954119390a1c704c3afd8ade071,+34 79062432,48011,otro,54,user,2026-03-15 06:08:00,2026-03-15 06:08:00
36,Ane,Jiménez Sarasola,ane.jimenez1341@euskador.eus,a1bdb71c40abc9e20da6ffbced8d8e609710813458d1ba51e5675de0bc62736d,+34 64044220,20059,otro,51,user,2026-03-05 23:31:00,2026-03-05 23:31:00
37,Ignacio,Álvarez Iparragirre,ignacio.alvarez1575@euskador.eus,f0a2199485ec763ddf425a9bb2b2f06c300b229190adff659edde73c0b7fdda1,+34 96973842,1059,otro,61,user,2026-03-25 06:34:00,2026-03-25 06:34:00
38,Begoña,Azkarate Romero,begona.azkarate220@euskador.eus,71b17a81be2e96980371705bc1fe233486719528acf926d4a762f702dac2da53,+34 69456398,48020,otro,64,user,2026-03-20 10:15:00,2026-03-20 10:15:00
39,Marta,Ruiz Alonso,marta.ruiz1538@euskador.eus,6678e5ad902fd6ad21a9f4278191ec67a3987bb5168adb2db21299175bd072c5,+34 79644530,20018,mujer,53,user,2026-03-29 00:15:00,2026-03-29 00:15:00
40,Nerea,Iparragirre Ruiz,nerea.iparragirre215@euskador.eus,5aba6aa4881dc5c61748fd4bec9d37dd31bd791dd4d9ba63bc18da891d4689f0,+34 61012645,48036,mujer,48,user,2026-03-03 11:27:00,2026-03-03 11:27:00
41,Amaia,Barandiaran Atutxa,amaia.barandiaran1694@euskador.eus,dca400a48a45f11e3be9b1a113b81e14f95de2a210438563a06d8f6701416f0b,+34 69773765,1051,mujer,61,user,2026-03-07 05:53:00,2026-03-07 05:53:00
42,Maite,García Mendizabal,maite.garcia1472@euskador.eus,fd80d1ee71a37cad478309f9af42d3361b888f0a744af4c1935c416e2f6b6672,+34 66214733,20030,mujer,55,user,2026-03-20 19:05:00,2026-03-20 19:05:00
43,Francisco,Goikoetxea Agirre,francisco.goikoetxea1581@euskador.eus,8c3ca295c48785fc23a33d3d449086f381f09c32ebac63581be71320615f0bf9,+34 74415780,1013,otro,59,user,2026-03-10 09:44:00,2026-03-10 09:44:00
44,Uxue,García Sarasola,uxue.garcia907@euskador.eus,6fb1b3a1552375c1622a822937acdd2248a6dcc48425966d9d5b271506ec1dd5,+34 63757630,48096,mujer,60,user,2026-03-31 21:47:00,2026-03-31 21:47:00
45,Mikel,Basabe García,mikel.basabe765@euskador.eus,f919698cc2e581fbdb57c69ae9284d0bd3250b9b8107921542f001a49295837c,+34 79436577,48044,hombre,52,user,2026-03-12 20:50:00,2026-03-12 20:50:00
46,David,Elizondo Martínez,david.elizondo197@euskador.eus,d157916e9d2b653337fe849b2dcf5b6619f9b9d0aee85194dd66cf586c2b12bc,+34 61446564,48003,hombre,55,user,2026-03-27 04:52:00,2026-03-27 04:52:00
47,Markel,Iparragirre Fernández,markel.iparragirre605@euskador.eus,5141f27d39d9f977e509e8d612ede32211f62cd0453b12e3b3232e5c6b4a7fc8,+34 77781308,48013,hombre,56,user,2026-03-10 05:43:00,2026-03-10 05:43:00
48,Carlos,Goikoetxea Pérez,carlos.goikoetxea1497@euskador.eus,943dc993011a8a1591787f5a569cb5cef9fd06f12346a156ce77e953f9415e42,+34 94023296,20069,otro,48,user,2026-03-07 02:38:00,2026-03-07 02:38:00
49,Jose,Zabaleta Larrañaga,jose.zabaleta28@euskador.eus,23c535c4001893c07601086aa44292e81e467e523c7ae6ecf5f6b87b9ee3a5f8,+34 73873519,48020,hombre,48,user,2026-03-24 05:41:00,2026-03-24 05:41:00
50,Julen,Sarasola Martin,julen.sarasola1978@euskador.eus,672002a6a7acf492bc28a82ba4cc2ccaea3fb2036fe00d1325eb9d3a33c7bd33,+34 69129372,20069,hombre,68,user,2026-03-17 16:53:00,2026-03-17 16:53:00
51,Laura,Iparragirre Zubizarreta,laura.iparragirre469@euskador.eus,40c1d149c6c5dfcc52beb97b46a62761c9afe57c1aa73ab372ffec63e9e121d7,+34 75210342,48011,mujer,45,user,2026-03-31 15:11:00,2026-03-31 15:11:00
52,Laura,Rodríguez Arregi,laura.rodriguez975@euskador.eus,bcffddab2b5da2b189d1ee94adeb95e46a46929c673c24b2cc88a646660e5ce6,+34 98688807,20069,otro,45,user,2026-03-10 16:24:00,2026-03-10 16:24:00
53,Gaizka,Díaz Zubizarreta,gaizka.diaz1875@euskador.eus,ff2ecbec48ed63fd260f770dbdba0e7379201fa061c778777786988bda2864c5,+34 64272639,48036,otro,80,user,2026-03-17 17:09:00,2026-03-17 17:09:00
54,Jose,Arregi Sarasola,jose.arregi968@euskador.eus,108b78e6bd353f63b56e5431c63a0bbe6b4fa987628cc4960cc5180fd1cf114b,+34 98755418,20055,hombre,54,user,2026-03-09 05:25:00,2026-03-09 05:25:00
55,Eneko,Zabaleta Sánchez,eneko.zabaleta1137@euskador.eus,54fc4844922db3b21e1db4356c306d935fe388a634317488ac51e0ab2c179ffd,+34 66115938,20018,otro,53,user,2026-03-22 15:34:00,2026-03-22 15:34:00
56,Nekane,Moreno Ruiz,nekane.moreno559@euskador.eus,d79484d0762d2d17b92af13b47fc6934bcbbe18b60172c1e9f7941b13d56f49e,+34 65133722,48044,otro,55,user,2026-03-25 11:11:00,2026-03-25 11:11:00
57,Antonio,Sánchez Echeverria,antonio.sanchez377@euskador.eus,b7e26671829cd4193bae3e823dc5b96ee31d3cb16078e988385aeb996509f431,+34 67500445,48044,otro,53,user,2026-03-02 11:31:00,2026-03-02 11:31:00
58,Imanol,Arregi Basabe,imanol.arregi1927@euskador.eus,7ffe7fdcd4390ddeb15dd31b376a1373657310a4262c32ae3a6df58dab8c641d,+34 69741721,20059,hombre,39,user,2026-03-04 01:59:00,2026-03-04 01:59:00
59,Mikel,Otxoa Hernández,mikel.otxoa1555@euskador.eus,fb8ea8f0cdc043335e1b2a5d8cb4d692b9eba6b4bda8d7f547eb1166fd2841f6,+34 71290594,20040,otro,53,user,2026-03-03 14:25:00,2026-03-03 14:25:00
60,Alazne,Moreno Bengoa,alazne.moreno924@euskador.eus,eae57097d260fa1d211d0b29159642dfb2060b5609557f5d5019e3f44c845954,+34 72170166,20018,otro,47,user,2026-03-17 18:12:00,2026-03-17 18:12:00
61,Manuel,Bengoa Alonso,manuel.bengoa116@euskador.eus,abf4cd83c0603d2177116c11e5d50010070199f56ed9747d396cc22ef3f3abc4,+34 68733105,48003,hombre,65,user,2026-03-04 06:55:00,2026-03-04 06:55:00
62,David,Pérez Urrutia,david.perez1352@euskador.eus,c162ee821cb14167b070f84f19258a34c8090c02c6ba778704b97f99a25d273b,+34 96781166,20079,otro,45,user,2026-03-15 05:44:00,2026-03-15 05:44:00
63,Eneko,Etxebarria Azkarate,eneko.etxebarria706@euskador.eus,080abb4a3cc87de9357983a9b245929b62554edd01ff9306594371a3b930268c,+34 97552594,48011,hombre,64,user,2026-03-19 22:34:00,2026-03-19 22:34:00
64,Ana,Zubizarreta Goikoetxea,ana.zubizarreta658@euskador.eus,a33764466a7320a73dca69153eb1347773ad4cf72032ad64d6c443950fcbffdc,+34 91594037,48027,mujer,56,user,2026-03-03 20:07:00,2026-03-03 20:07:00
65,Laura,Zubizarreta Rodríguez,laura.zubizarreta147@euskador.eus,edfc2e4410e09864a473fec04aeb7504e23afe57092b3c42390bc5000108ebef,+34 71877631,48096,otro,65,user,2026-03-05 21:30:00,2026-03-05 21:30:00
66,Uxue,Atutxa Azkarate,uxue.atutxa485@euskador.eus,c77f01076669e83bda2d93c56debf5b3fa890c167674fce34bb7d2b90d05d044,+34 95041577,48080,otro,48,user,2026-03-19 17:17:00,2026-03-19 17:17:00
67,Carmen,Gómez Iparragirre,carmen.gomez750@euskador.eus,64c95d61515e850aaa1656d9b04bf0e618eb3c9d674ccb486e87f42adcf91e8d,+34 75841358,48015,mujer,54,user,2026-03-19 09:22:00,2026-03-19 09:22:00
68,Iker,Hernández Basabe,iker.hernandez1745@euskador.eus,65c69d56cb69bddff385a950dc217fe058abaaea078efe92b541d60c2a8e3c8a,+34 65730301,1008,hombre,54,user,2026-03-27 02:24:00,2026-03-27 02:24:00
69,Begoña,Rodríguez Sánchez,begona.rodriguez8@euskador.eus,f767c0009ff5f2887d2274e559cf79efcd1dc6eb812df87a32c751abf9e0bd90,+34 69088515,48013,otro,52,user,2026-03-15 21:30:00,2026-03-15 21:30:00
70,Teresa,Elizondo Álvarez,teresa.elizondo1061@euskador.eus,5051ba50e9a29aff0b2d4d7fbe7615c1d091502ffaa00fd76677d465735fc806,+34 95665061,20040,otro,55,user,2026-03-28 05:31:00,2026-03-28 05:31:00
71,Alazne,Jiménez Garate,alazne.jimenez242@euskador.eus,2879b0e627aa6581d926c75917507227ff9677f4050ecd6a740fe586aae8b04c,+34 94587363,48036,mujer,61,user,2026-03-03 15:55:00,2026-03-03 15:55:00
72,Jose,Gabilondo López,jose.gabilondo1408@euskador.eus,486c5c247783ec054165dcaaa248e63c556535f8b90b4c9f5400899bb1be584c,+34 65997808,20045,hombre,55,user,2026-03-24 20:46:00,2026-03-24 20:46:00
73,Nerea,Etxebarria Martin,nerea.etxebarria1583@euskador.eus,1c1e7f40ccbe43315a1c5a2c9abb63052c9186ff1015f0651c3dd0d4315607e4,+34 74881506,1013,mujer,56,user,2026-03-30 05:51:00,2026-03-30 05:51:00
74,Unai,Hernández Bilbao,unai.hernandez169@euskador.eus,4cbc34b6c5ff023546dad758454eee8e090a83765aa59979ea2a19f5f43c3189,+34 62781734,48011,hombre,54,user,2026-03-22 12:30:00,2026-03-22 12:30:00
75,Luis,Martin Zubizarreta,luis.martin1688@euskador.eus,59e260b29c681679edb775a5aa1dd7f85663e71496013f50d523641a642c42e8,+34 98170070,1036,otro,48,user,2026-03-14 05:50:00,2026-03-14 05:50:00
76,Oier,Iparragirre Uriarte,oier.iparragirre1095@euskador.eus,641361ad63761e4cda990f2d90f0def8720ff2f213a874c9503b9d91fd4a773e,+34 95333397,20079,hombre,60,user,2026-03-06 12:37:00,2026-03-06 12:37:00
77,Aitor,Agirre Hernández,aitor.agirre1866@euskador.eus,2bd1434111ad5e4cfb1aa4aa981acee0aedc3e27817744c0cbcda2023f0ae07d,+34 67074111,20074,hombre,87,user,2026-03-18 08:50:00,2026-03-18 08:50:00
78,Iñaki,Goikoetxea Bilbao,inaki.goikoetxea247@euskador.eus,29507592d130cd4ea402f891f183e5a9fe025e298acda3b010d01d1c205a1f89,+34 74551421,48015,hombre,51,user,2026-03-29 16:57:00,2026-03-29 16:57:00
79,Eider,García Jiménez,eider.garcia607@euskador.eus,1bdef5297aa30737de9600819f69ad455bf0879f5d4c4a7d4d8646496397bc95,+34 77995988,48036,otro,57,user,2026-03-27 20:53:00,2026-03-27 20:53:00
80,Arantza,Mendizabal Pérez,arantza.mendizabal1090@euskador.eus,3dcd7157662372d643f807d633ab8fe4bfd2fdc70d72593d037c4e5acf1a236f,+34 68205422,20018,mujer,60,user,2026-03-03 08:53:00,2026-03-03 08:53:00
